ID,MSE,MAE,R-2,RMSE
1,247.0018477,13.51936024,-2.087523097,15.71629243
2,1188.628766,31.07776164,-4.943143832,34.47649586
3,3081.242918,46.38661026,-1.329128505,55.50894448
4,1048.276051,27.47905097,-0.119653993,32.37709145
5,3593.131367,56.13663475,-3.49001108,59.94273406
6,752.4665626,23.3878477,0.180914482,27.43112398
7,1888.990885,36.77290138,0.114500933,43.46252277
8,4380.845041,55.14053407,-0.907825821,66.18795238
9,3285.681412,51.77010819,-12.0384183,57.32086367
10,4269.722684,53.02704201,-0.38992139,65.34311505
11,11445.67397,104.4835766,-18.94019856,106.9844567
12,4624.825984,54.29045726,-0.178599894,68.00607314
13,6464.754299,65.51425163,-1.040212802,80.4036958
14,528.4516494,18.66655758,-1.998307231,22.98807624
15,424.3438259,17.38469299,0.118246595,20.59960742
16,12472.80613,108.6700323,-10.72256215,111.681718
17,1791.2644,36.56998852,0.210432971,42.32333163
18,2830.030198,42.8453224,-0.919966213,53.19802814
19,1215.940471,29.91246353,0.199336828,34.87033798
20,3118.179397,50.08158014,-0.10524746,55.84066078
21,941.3542394,26.17874895,0.484260107,30.68149669
22,3516.696784,56.44234641,-26.76339567,59.30174352
23,981.3181251,26.64940281,0.303164832,31.32599759
24,1285.197478,28.13801151,0.554202349,35.84965102
25,845.4439767,24.39832714,-3.405266053,29.07651934
26,999.2146673,25.80076688,-1.076290218,31.61035696
27,692.2639217,22.01022821,0.576143321,26.3109088
28,9748.973041,90.41109738,-3.686442995,98.73688794
29,3508.184007,46.93603182,-0.439747199,59.22992493
30,10766.87616,98.53776076,-5.318589297,103.7635589
31,3519.088497,50.50789512,-0.099285747,59.32190571
32,2212.937244,42.94096627,-0.263092034,47.04186693
33,3975.41954,60.23663884,-18.08964965,63.05092814
34,2270.442846,41.36709988,0.338834349,47.64916416
35,2402.964549,37.34760241,0.264454899,49.02004232
36,385.8401548,14.88708001,0.7083413,19.64281433
37,5522.038473,72.18894001,-3.526261043,74.31041968
38,728.7142959,22.63054691,0.440311601,26.99470867
39,669.7161277,21.46127569,-4.874702874,25.87887416
40,1317.523086,31.07026495,0.106158015,36.29770083
41,2211.021205,42.58895142,-0.753850771,47.02149727
42,3556.360231,55.87652243,-0.753701367,59.63522643
43,2641.654243,40.82364569,-0.07155633,51.39702563
44,630.7811987,20.32629449,-1.596697902,25.11535783
45,19391.45616,133.7498462,-9.072175643,139.2532088
46,1533.399507,33.5686101,0.136720897,39.15864537
47,10219.70961,98.50333011,-22.01736399,101.0925794
48,2010.45061,38.7802551,-2.966037699,44.83804869
49,2907.060196,43.34864239,0.620025244,53.9171605
50,2523.364842,45.41777338,-4.530662668,50.23310504
51,2375.743288,39.91583093,-0.374917746,48.7415971
52,9696.942812,94.00740678,-2.257651561,98.47305628
53,1469.005457,32.95906615,0.344559751,38.32760699
54,1790.33681,36.07834705,-0.467489188,42.31237183
55,7553.1164,79.02018481,-6.098793609,86.908667
56,11857.43991,105.538931,-6.693391669,108.8918726
57,12394.35885,104.2043016,-4.810082668,111.3299549
58,3423.328328,46.41850666,-0.326228892,58.50921575
59,540.3125781,18.13130167,0.266128926,23.24462471
60,4321.887726,55.84809397,-1.400159789,65.74106575
61,599.5309859,19.50170902,0.715412507,24.48532184
62,4280.199098,56.17503579,0.045716716,65.42323057
63,2332.970296,38.98752828,-0.165319828,48.30083122
64,6971.908097,79.68917448,-1.964351669,83.49795265
65,2376.612739,44.56975946,-4.65860176,48.75051527
66,2622.198286,46.16811565,-0.456237479,51.2074046
67,21723.68142,145.3127359,-50.723051,147.3895567
68,1684.477743,35.47754956,0.421936258,41.04238959
69,9323.570569,94.27900826,-37.38176564,96.55863798
70,7661.951933,79.16340462,-2.979717924,87.53257641
71,1332.106598,32.02203389,-2.457771832,36.49803554
72,1049.476764,27.89342519,0.266100165,32.39562878
73,4276.220727,60.71365868,-3.091098519,65.39281862
74,12433.21637,106.0942117,-6.949626834,111.5043334
75,4012.297648,59.24803708,-5.218206351,63.34270004
76,4383.500305,60.35629354,-0.251713394,66.20800786
77,733.5065623,23.08289347,0.664593273,27.08332628
78,1279.208946,30.68815672,-1.961703135,35.76603061
79,832.6104351,23.04064954,0.020458312,28.85498978
80,4906.776302,59.02275104,-2.328884872,70.04838543
81,1152.533041,28.54836195,0.695150844,33.94897702
82,911.903818,22.82026962,0.583018488,30.19774525
83,1016.637025,26.04648771,-1.289723028,31.88474595
84,3567.459648,51.48417415,-0.447098529,59.72821484
85,650.8888922,21.30105431,-5.762481997,25.51252422
86,3297.634951,52.20556672,-2.270652071,57.42503767
87,715.5835704,23.24942221,-1.739075868,26.75039384
88,8093.939984,87.37374331,-20.00957816,89.96632695
89,15403.92523,115.9991719,-4.900379939,124.1125506
90,2220.95577,40.27664611,-0.250362151,47.12701741
91,6872.389266,68.12268671,-0.506139552,82.89987495
92,1070.84559,26.82057134,0.428856968,32.72377714
93,24651.95691,146.9933248,-3.968900361,157.0094166
94,2350.147246,40.26563613,-0.594401117,48.47831728
95,2737.940272,47.78521053,-3.148394351,52.32533107
96,3722.357807,55.44833135,-3.747905366,61.01112855
97,4809.467189,57.96534717,-2.214347328,69.3503222
98,1484.096554,31.88036903,-0.216472586,38.52397376
99,1085.790159,25.85678762,-0.384936427,32.95133015
100,1640.265922,33.79808727,0.497916204,40.50019657
