ID,MSE,MAE,R-2,RMSE
1,808.2472925,24.57696442,-9.103091156,28.42969033
2,457.2722016,17.72765402,-1.286361008,21.38392391
3,1471.851354,32.18362115,-0.112580551,38.36471497
4,864.3159546,24.25069725,0.076832091,29.39925092
5,1522.556057,32.78345595,-0.902600509,39.01994435
6,1700.36674,34.42386966,-0.850907192,41.2355034
7,1760.699255,33.34022613,0.174639984,41.96068702
8,4736.612942,55.72936275,-1.062760127,68.82305531
9,574.4967104,19.62403011,-1.279748851,23.96866101
10,6823.792863,71.8478323,-1.221346997,82.60625196
11,1243.602064,28.89901225,-1.166554118,35.2647425
12,9281.454595,79.55380357,-1.365304433,96.34030618
13,13049.60951,97.5146047,-3.118328271,114.2348875
14,508.8495101,19.11253898,-1.887089419,22.55769293
15,435.6882027,17.57209178,0.094673865,20.87314549
16,4369.230015,56.49261826,-3.106419187,66.1001514
17,684.6382037,20.33914165,0.69822001,26.16559198
18,5832.494481,59.60449847,-2.956916202,76.37076981
19,1737.83327,35.1476372,-0.144315147,41.68732745
20,5254.491749,64.3463424,-0.862469384,72.48787312
21,961.0008164,22.69910799,0.473496334,31.00001317
22,2621.171535,47.17938619,-19.69345949,51.19737821
23,1917.604747,36.52852603,-0.361693412,43.79046411
24,1363.618778,32.50154335,0.527000279,36.92720918
25,850.0788772,23.66708189,-3.429416642,29.15611218
26,3073.289132,50.87632627,-5.386055338,55.43725401
27,1286.242785,30.77523473,0.212464237,35.86422709
28,14957.59569,115.5765863,-6.190287558,122.3012498
29,2988.010479,43.89306664,-0.22626969,54.66269732
30,22862.93669,145.9814292,-12.41721637,151.2049493
31,554.9467336,18.02821691,0.826646862,23.55730743
32,1334.855681,30.94662327,0.238096073,36.53567682
33,7612.56963,85.99735626,-35.55495621,87.25004086
34,4710.480646,57.728916,-0.371718301,68.6329414
35,1352.777928,26.77705344,0.585915998,36.78012953
36,615.6923481,18.80710649,0.53459476,24.81314869
37,4012.137411,58.9901553,-2.288637222,63.34143518
38,554.4263951,17.27349795,0.574173276,23.54626075
39,1064.297956,30.2146521,-8.335946982,32.62357975
40,2263.529212,42.09472286,-0.535637186,47.57656159
41,10822.91994,101.1069121,-7.585076635,104.0332636
42,2350.405085,42.25611744,-0.159024492,48.48097653
43,4698.142488,58.97511369,-0.905746877,68.54299737
44,2420.17551,44.97235419,-8.962986662,49.19527935
45,21712.20591,141.4465784,-10.27760338,147.3506224
46,1500.562951,28.89887271,0.155207346,38.73710044
47,6970.804163,80.41642766,-14.70000938,83.49134185
48,5178.923576,67.86466108,-9.216518643,71.96473842
49,3029.30176,45.98304571,0.604047347,55.03909302
50,3415.751961,53.84603018,-6.486579641,58.44443482
51,1864.174589,36.85487516,-0.078856767,43.17608816
52,679.6474365,20.12087663,0.771674993,26.07004865
53,1274.615875,29.10939718,0.431292415,35.70176291
54,4859.172474,62.69482706,-2.982928257,69.7077648
55,3676.662603,52.64575341,-2.455509965,60.63548963
56,22787.78282,147.7725304,-13.78526055,150.9562282
57,12959.38243,107.0711413,-5.074947818,113.8392833
58,3375.273789,48.84556177,-0.307612122,58.09710654
59,953.0635988,25.61125225,-0.294483666,30.87172815
60,3840.698203,50.93095579,-1.132931249,61.97336689
61,572.3824113,18.32403635,0.728299488,23.92451486
62,4320.036979,56.70957097,0.036834741,65.72698821
63,1503.979702,32.58083526,0.248761388,38.78117716
64,9588.335618,93.03771846,-3.076817752,97.92004707
65,1274.83605,29.73926564,-2.035323928,35.7048463
66,4191.700749,59.83295337,-1.327860468,64.74334521
67,28805.9006,167.3740309,-67.58547762,169.7230114
68,4089.327478,58.42147933,-0.403338187,63.94784967
69,9175.416852,86.31255346,-36.7718704,95.78839623
70,6145.477152,69.29974808,-2.192041113,78.39309378
71,7253.578602,81.89495935,-17.82823777,85.16794351
72,5372.979199,69.42457877,-2.757328111,73.30060845
73,1461.936894,31.44442388,-0.398648069,38.23528337
74,16510.97635,124.1446792,-9.556890247,128.4950441
75,4592.422548,61.37877497,-6.117276324,67.76741509
76,3673.504342,50.72006453,-0.048973256,60.60944103
77,1036.891051,27.01304234,0.525866227,32.20079271
78,2054.875084,38.66216571,-3.757573028,45.33073002
79,670.6758311,20.72349608,0.21096961,25.89740974
80,4556.263498,58.33741769,-2.091087855,67.50009998
81,1458.520879,30.19211192,0.614215955,38.19058626
82,5788.576636,64.1801754,-1.646912305,76.08269604
83,2334.113564,42.37065637,-4.257012532,48.31266464
84,3335.784584,46.79316166,-0.353122233,57.75625148
85,792.3534287,22.59251226,-7.232243415,28.14877313
86,4159.555415,57.90204853,-3.125519876,64.4946154
87,820.2941798,25.04686875,-2.139882028,28.64077827
88,1947.368073,40.179606,-4.054816542,44.12899356
89,16216.97318,120.2742873,-5.211813017,127.3458801
90,2900.187656,42.66117303,-0.632758709,53.85339039
91,6696.299231,69.50810685,-0.467548001,81.83091855
92,22266.7596,145.056788,-10.87613295,149.2205066
93,30654.21025,163.8163443,-5.178727186,175.083438
94,1818.868993,36.1619779,-0.233968109,42.64820035
95,663.13285,19.5245634,-0.004746742,25.75136598
96,11293.4249,102.0030769,-13.40487869,106.2705269
97,6001.579319,69.98009342,-3.011080581,77.46986071
98,4073.821285,58.56818173,-2.339197774,63.8264936
99,805.5802883,23.57448628,-0.027525878,28.38274631
100,2633.683057,44.86940776,0.193832189,51.31942183
