ID,MSE,MAE,R-2,RMSE
1,1075.387097,28.67741935,-12.44233871,32.79309526
2,1647.326531,35.69387755,-7.236632653,40.58727055
3,1748.095238,34.9047619,-0.321394826,41.81022887
4,1381.103774,30.21698113,-0.475144217,37.16320457
5,3209.622449,46.19387755,-3.010774694,56.65352989
6,1391.047619,29.54285714,-0.514202778,37.29675078
7,2587.70625,41.08125,-0.213034689,50.86950216
8,6457.036145,67.85542169,-1.811991789,80.3556852
9,537.5636364,18.29090909,-1.133189033,23.18541862
10,7851.177083,76.22916667,-1.555791037,88.60686815
11,2690,46,-3.68641115,51.86520992
12,8201.857143,73.94009217,-1.090177661,90.56410516
13,14628.28205,106.4871795,-3.616541779,120.9474351
14,792.6304348,24.19565217,-3.497193956,28.15369309
15,1087.157895,26.42105263,-1.259029392,32.9720775
16,1845.283186,35.05309735,-0.734288708,42.95675949
17,1280.048485,27.12727273,0.435770577,35.77776523
18,5485.804511,61.44360902,-2.721712694,74.06621707
19,1545.37037,33.68148148,-0.01758365,39.31119905
20,5247.38587,61.71195652,-0.859950685,72.43884227
21,1121.52027,27.25,0.385552516,33.48910674
22,2277.25641,40.33333333,-16.97834008,47.72060782
23,3209.876923,46.75384615,-1.279337421,56.65577573
24,1969.037634,36.20967742,0.316998074,44.37383953
25,1906.416667,37.95833333,-8.933564915,43.66253161
26,6835.263158,77.92105263,-13.20314422,82.67565033
27,2136.064286,39.19285714,-0.307861188,46.21757551
28,17058.39873,123.5379747,-7.200167641,130.607805
29,5051.707602,57.92982456,-1.073204214,71.07536565
30,21699.76224,141.9160839,-11.73460225,147.3083916
31,1206.418367,25.81632653,0.623141471,34.73353376
32,11844.11034,102.5517241,-5.760336955,108.8306498
33,7757.68,86.64,-36.25176471,88.07769298
34,7679.82266,69.91133005,-1.236407298,87.63459739
35,1806.631313,32.35858586,0.44699192,42.5044858
36,1101.134921,26.15079365,0.167646044,33.18335306
37,3035.38843,45.9338843,-1.488023303,55.09435933
38,733.304,21.112,0.436786482,27.07958641
39,2846.081081,51.86486486,-23.96562352,53.3486746
40,2397.714286,42.43609023,-0.626671836,48.96646082
41,10140.91057,93.70731707,-7.044085592,100.7020882
42,2066.378205,36.22435897,-0.018966035,45.45743289
43,4822.209302,58.13953488,-0.956073138,69.44212916
44,2345.037037,42.62962963,-8.653668763,48.42558246
45,23040.93421,145.8289474,-10.96776222,151.792405
46,1688.89726,32.18493151,0.049178179,41.0961952
47,7198.356164,80.4109589,-15.21251388,84.8431268
48,5484.551282,69.55128205,-9.819433731,74.05775639
49,4710.069307,55.00660066,0.384358316,68.62994468
50,3860.5,56.01351351,-7.461369863,62.13292203
51,1887.548611,37.8125,-0.092384053,43.44592744
52,3407.338624,50.85185185,-0.144682629,58.37241321
53,1557.591463,31.21341463,0.305034484,39.46633329
54,4202.14876,54.0661157,-2.44438423,64.82398291
55,3650.876106,50.53982301,-2.431274536,60.42248014
56,19942.91176,135.7205882,-11.93943991,141.2193746
57,13932.8625,110.2,-5.531284425,118.037547
58,4091.392045,50.48295455,-0.585042923,63.96399022
59,2022.659574,36.9787234,-1.747245602,44.97398775
60,4362.231293,53.55102041,-1.422564583,66.04718989
61,953.4968553,23.25786164,0.547390733,30.87874439
62,11194.74138,89.80172414,-1.495901316,105.8052049
63,2237.574194,38.64516129,-0.117669427,47.30300406
64,10871.76786,92.56547619,-3.622514059,104.26777
65,2099.169014,37.84507042,-3.998021462,45.81668925
66,4600.870748,59.36054422,-1.555092974,67.82971877
67,24817.3662,152.6338028,-58.08896714,157.5352856
68,3653.877005,53.39572193,-0.253904257,60.44730768
69,10538.37037,78,-42.38265676,102.6565652
70,6959.013158,71.67105263,-2.614602341,83.42069982
71,7056.470588,81.55882353,-17.31660114,84.00280107
72,4041.053435,53.09923664,-1.825911493,63.56928059
73,1580.071429,32.76785714,-0.511668432,39.75011231
74,16989.84672,124.7372263,-9.863073347,130.3451062
75,3790.863636,55.88636364,-4.87503082,61.56998974
76,5038.585366,58.7804878,-0.438773662,70.9829935
77,1916.314815,36.40123457,0.1237367,43.77573317
78,2699.069444,44.93055556,-5.249051386,51.95256918
79,1275.009901,29.34653465,-0.500011648,35.70728078
80,6816.932331,72.55639098,-3.624784485,82.56471602
81,2106.00939,35.48356808,0.442952903,45.89127793
82,10781.18519,85.77777778,-3.929856427,103.8324862
83,3138.90411,48.4109589,-6.06960385,56.02592355
84,7135.55814,73.6744186,-1.894456197,84.47223295
85,2033.647059,37.11764706,-20.12880061,45.09597608
86,6700.172727,70.13636364,-5.645348601,81.85458281
87,985.25,27.39285714,-2.771291866,31.38869223
88,1498.720588,31.89705882,-2.890254609,38.7133128
89,16518.20339,117.6384181,-5.327197417,128.5231629
90,3343.636986,47.97945205,-0.882413504,57.82419032
91,7249.123932,70.46581197,-0.588703994,85.14178722
92,20190.10667,135.48,-9.76853549,142.0918951
93,29237.29098,159.3155738,-4.893129954,170.9891546
94,2800.12782,43.60150376,-0.89967966,52.91623399
95,3536.52809,51.94382022,-4.358375894,59.46871522
96,12252.09278,99.68041237,-14.62766937,110.6891719
97,6882.059701,75.10447761,-3.599538648,82.95818044
98,4261.471074,57.98347107,-2.493009077,65.27994389
99,2256.319588,39.82474227,-1.877958658,47.5007325
100,3365.257576,45.61111111,-0.030102056,58.01084016
