ID,MSE,MAE,R-2,RMSE
1,588.1557097,21.62322581,-6.351946371,24.25192177
2,720.6653878,23.20795918,-2.603326939,26.84521164
3,1367.459794,31.785,-0.033670396,36.97918055
4,909.3283208,25.22754717,0.028754798,30.15507123
5,1960.285416,36.88061224,-1.449591273,44.27511057
6,866.3720938,24.63247619,0.056924426,29.43419939
7,1683.238601,33.4424375,0.210951083,41.02729093
8,5593.750383,61.21018072,-1.436037183,74.79137907
9,309.5357305,14.79463636,-0.228316391,17.59362755
10,6970.088696,72.18986111,-1.26897063,83.48705706
11,1786.46987,35.5339759,-2.112316846,42.26665198
12,10862.62298,86.34875576,-1.768252543,104.2239079
13,12549.59099,95.91784615,-2.960527348,112.024957
14,293.8935391,14.43565217,-0.667481073,17.14332346
15,354.8142322,15.61394737,0.262723673,18.83651327
16,2363.883016,40.02938053,-1.221694564,48.61978009
17,727.0049842,21.34715152,0.679545261,26.96302995
18,4724.614844,55.74473684,-2.205301794,68.73583377
19,1954.72835,37.07051852,-0.287134559,44.21230993
20,2963.278205,45.54701087,-0.050342297,54.436001
21,1010.314964,26.17027027,0.446478585,31.78545207
22,1854.632385,39.37487179,-13.64183462,43.06544304
23,2771.068115,42.96007692,-0.967738764,52.64093573
24,1529.368612,33.74069892,0.469506479,39.10714273
25,570.3190407,20.16861111,-1.971701472,23.88135341
26,6612.067413,78.61,-12.73936086,81.31461992
27,1509.733572,33.64385714,0.075626161,38.85529015
28,16769.55307,122.7407278,-7.06131622,129.4973091
29,3884.301521,50.04791423,-0.594104591,62.32416482
30,21163.05728,140.2853497,-11.41963455,145.4752806
31,434.3833599,15.57391156,0.864308205,20.84186556
32,7501.355054,80.37558621,-3.28159535,86.61036343
33,7360.595811,84.5636,-34.34499789,85.79391476
34,5419.87227,60.88463054,-0.578297108,73.61978178
35,1560.185413,28.83074074,0.522428769,39.49918243
36,571.8783608,18.08005291,0.567713995,23.91397836
37,2970.861418,49.00578512,-1.43513231,54.50560905
38,439.575045,15.33188,0.662384758,20.96604505
39,2357.585686,47.29337838,-19.68057619,48.55497591
40,2308.258421,42.00015038,-0.565982647,48.04433807
41,8905.290684,91.29829268,-6.063953478,94.36784772
42,1650.452308,34.63641026,0.186134058,40.62575916
43,4751.872453,58.335,-0.927541813,68.93382663
44,1902.913007,39.40416667,-6.833604145,43.62239112
45,21953.21795,142.6889145,-10.40278818,148.1661836
46,1291.760546,26.74869863,0.272759721,35.94107046
47,6635.387444,78.31328767,-13.94456631,81.45788755
48,5207.661881,68.60474359,-9.273211009,72.16413154
49,4066.03488,52.32765677,0.468538487,63.76546777
50,2826.938866,48.8922973,-5.196030392,53.16896525
51,1987.267994,37.6425,-0.150094812,44.57878413
52,1759.261633,37.17343915,0.408982654,41.94355294
53,1124.73272,27.33573171,0.498167219,33.53703504
54,3822.700072,53.05479339,-2.133360715,61.82798777
55,3998.574108,54.95566372,-2.758058373,63.23427954
56,19730.2845,136.9522059,-11.80148224,140.4645311
57,13143.2983,108.319,-5.161161749,114.6442249
58,3782.390107,51.21346591,-0.465332729,61.50113907
59,751.9489771,22.49744681,-0.021322889,27.42168808
60,3909.732041,51.71537415,-1.171269182,62.52785012
61,442.7214808,15.5190566,0.789847398,21.04094772
62,4833.935277,59.40883621,-0.077740433,69.52650773
63,1660.59847,35.35341935,0.170530235,40.75044134
64,9455.645012,91.6425,-3.020399679,97.24014095
65,1698.902297,36.10549296,-3.045005469,41.2177425
66,3250.219714,52.0692517,-0.805009097,57.01069824
67,22026.75539,146.7398122,-51.44465569,148.4141347
68,3293.79256,50.77315508,-0.130333754,57.3915722
69,6698.199335,73.64296296,-26.57406244,81.84252767
70,6406.102232,70.02588816,-2.327413184,80.03812986
71,6503.869112,77.81970588,-15.88220405,80.64656913
72,2763.513777,46.05603053,-0.932527117,52.56913331
73,1043.677949,28.13366071,0.001503995,32.30600485
74,15478.24379,119.8604745,-8.896575313,124.4115903
75,2243.1365,41.31880682,-2.476383572,47.361762
76,3664.106415,51.0422439,-0.046289667,60.5318628
77,1390.889007,31.56694444,0.363995424,37.29462437
78,1632.470543,34.95618056,-2.779596086,40.40384317
79,642.9082594,21.05386139,0.243637342,25.35563565
80,5890.518325,67.78481203,-2.996281089,76.74971221
81,1798.580115,34.98798122,0.524269058,42.40967007
82,7998.130109,74.4,-2.65726332,89.43226548
83,2306.033887,41.72582192,-4.193770015,48.02118165
84,3208.041645,46.98887597,-0.301304795,56.63957667
85,966.2002,25.43941176,-9.038443636,31.08376103
86,3794.915696,55.97290909,-2.763863819,61.60288707
87,471.8914071,17.42035714,-0.806282898,21.72306164
88,411.7907971,16.93470588,-0.0688924,20.29262913
89,15883.02701,119.0257627,-5.083896967,126.0278819
90,2893.968447,43.52979452,-0.629257395,53.79561736
91,7355.25848,72.20536325,-0.611964236,85.76280359
92,24552.4124,151.8372667,-12.09520195,156.6920942
93,29673.36731,160.7315984,-4.981026416,172.2595928
94,2004.313857,38.03169173,-0.359778736,44.76956396
95,441.6892444,17.14516854,0.330773872,21.01640417
96,7016.209377,79.10309278,-7.949246655,83.7628162
97,6540.494334,73.14029851,-3.3712577,80.87332276
98,3591.975785,54.74628099,-1.944242447,59.93309424
99,913.2824735,24.93139175,-0.164901114,30.22056375
100,2563.841095,43.81050505,0.215210746,50.63438649
